,메뉴,가격
0," 매화(치킨, 연어구이)  "," 10,000원                     "
1, 매화 (순살 고등어 간장구이)  ," 10,000원                     "
2, 진달래  ," 7,000원                     "
3, 개나리(순살 고등어 간장구이)  ," 8,000원                     "
4, 생선까스도련님고기고기  ," 5,500원                     "
5, 돈까스도련님고기고기  ," 5,500원                     "
6, 탕수육도련님고기고기  ," 5,600원                     "
7, 새치 고기고기  ," 6,000원                     "
8, 돈치 고기고기  ," 5,200원                     "
9, 고기고기  ," 4,000원                     "
10, 칠리탕수육 육개장 정식  ," 8,000원                     "
11, 주말숯불삼겹2종정식  ," 15,000원                     "
12, 고추장숯불삼겹정식  ," 9,000원                     "
13, 숯불삼겹정식  ," 8,500원                     "
14, 제육 김치찌개 정식  ," 8,000원                     "
15, 콤비네이션 정식  ," 6,000원                     "
16, 숯불직화구이  ," 6,500원                     "
17, 소불고기  ," 5,000원                     "
18, 메가치킨제육  ," 6,900원                     "
19, 생선까스도련님  ," 3,900원                     "
20, 칠리 찹쌀탕수육도련님  ," 4,000원                     "
21, 동백  ," 5,000원                     "
22, 치킨제육  ," 4,400원                     "
23, 국화  ," 4,200원                     "
24, 돈까스도련님  ," 3,900원                     "
25, 제육볶음  ," 3,900원                     "
26, 한솥밥  ," 1,000원                     "
27, 현미밥  ," 1,700원                     "
28, 메가 스리라차 참치마요  ," 5,700원                     "
29, 스리라차 참치마요  ," 3,400원                     "
30, 메가 스리라차 치킨마요  ," 5,700원                     "
31, 스리라차 치킨마요  ," 3,400원                     "
32, 메가스팸마요  ," 5,500원                     "
33, 스팸마요  ," 3,500원                     "
34, 메가불닭치킨마요  ," 6,400원                     "
35, 불닭치킨마요  ," 3,500원                     "
36, 갈비치킨마요  ," 3,200원                     "
37, 메가치킨마요  ," 5,200원                     "
38, 왕치킨마요  ," 4,200원                     "
39, 빅치킨마요  ," 3,500원                     "
40, 치킨마요  ," 2,900원                     "
41, 참치마요  ," 2,900원                     "
42, 돈치마요  ," 3,500원                     "
43, 치즈 카레도시락  ," 4,000원                     "
44, 돈까스 카레  ," 3,900원                     "
45, 3종치즈 김치볶음밥  ," 4,500원                     "
46, 스팸 김치볶음밥  ," 4,300원                     "
47, 김치볶음밥  ," 3,500원                     "
48, 스팸철판볶음밥  ," 4,500원                     "
49, 소불고기 철판볶음밥  ," 4,500원                     "
50, 돼지국밥 콤보  ," 6,700원                     "
51, 돼지국밥  ," 5,700원                     "
52, 돼지국밥(국만)  ," 4,500원                     "
53, 소고기 육개장  ," 4,500원                     "
54, 묵은지 김치찌개  ," 4,300원                     "
55, 고추장숯불삼겹덮밥  ," 6,500원                     "
56, 숯불직화구이 덮밥  ," 5,700원                     "
57, 왕카레돈까스덮밥  ," 5,500원                     "
58, 새우돈까스 덮밥  ," 3,900원                     "
59, 돈까스 덮밥  ," 3,600원                     "
60, 소불고기 감초고추장 비빔밥  ," 4,800원                     "
61, 시골제육 두부강된장 비빔밥  ," 4,800원                     "
62, 참치야채 감초고추장  ," 3,200원                     "
63, 튼튼도시락  ," 5,000원                     "
64, 해피닭가슴살볶음밥  ," 5,000원                     "
65, 반찬 계란말이  ," 2,200원                     "
66, 반찬 치즈계란말이  ," 2,800원                     "
67, 반찬 묵은지김치찌개  ," 3,900원                     "
68, 반찬 소고기육개장  ," 4,100원                     "
69, 반찬 카레  ," 2,400원                     "
70, 반찬 소불고기  ," 3,900원                     "
71, 반찬 순살 고등어데리야끼  ," 3,400원                     "
72, 반찬 치킨  ," 3,200원                     "
73, 반찬 고기고기  ," 3,200원                     "
74, 반찬 돈까스 도련님  ," 3,200원                     "
75, 반찬 제육볶음  ," 3,100원                     "
76, 반찬 돈까스  ," 2,500원                     "
77, 아이스 애플망고  ," 1,500원                     "
78, 바삭 군만두  ," 2,000원                     "
79, 미니 찹쌀핫도그  ," 2,500원                     "
80, 미니 찹쌀탕수육  ," 2,000원                     "
81, 감자고로케  ," 2,000원                     "
82, 케이준후라이  ," 1,500원                     "
83, 순살치킨 세트(대)  ," 13,000원                     "
84, 순살치킨 세트(중)  ," 7,000원                     "
85, 순살치킨믹스 세트  ," 14,000원                     "
86, 찹쌀탕수육박스(대)  ," 10,000원                     "
87, 찹쌀탕수육박스(중)  ," 5,000원                     "
88, 오리지널 닭강정(중)  ," 7,500원                     "
89, 오리지널 닭강정(소)  ," 2,800원                     "
90, 치킨 BOX(대)   ," 10,000원                     "
91, 치킨BOX(중)_양식소스  ," 5,000원                     "
92, 치킨BOX(중)_타르타르소스  ," 5,000원                     "
93, 오징어젓갈  , 400원                     
94, 오이지무침  , 700원                     
95, 한솥 두부강된장소스  ," 1,800원                     "
96, 한솥 감초볶음고추장소스  , 500원                     
97, 볶음김치  , 400원                     
98, 김치  , 300원                     
99, 무말랭이  , 300원                     
